iter	Passed	Remaining
0	139	139385
1	146	73205
2	150	49991
3	152	38069
4	155	30882
5	157	26123
6	161	22903
7	164	20395
8	167	18430
9	169	16820
10	172	15504
11	174	14393
12	177	13438
13	179	12637
14	181	11909
15	183	11287
16	185	10721
17	187	10231
18	189	9788
19	191	9390
20	193	9031
21	195	8704
22	197	8404
23	199	8131
24	202	7879
25	204	7645
26	206	7427
27	208	7228
28	211	7070
29	213	6903
30	215	6738
31	218	6604
32	220	6459
33	222	6320
34	224	6191
35	226	6070
36	228	5949
37	230	5836
38	232	5732
39	234	5630
40	236	5534
41	238	5441
42	240	5358
43	242	5276
44	244	5198
45	246	5121
46	249	5050
47	251	4980
48	253	4913
49	255	4853
50	257	4794
51	259	4736
52	262	4685
53	264	4631
54	266	4579
55	268	4532
56	271	4490
57	273	4447
58	276	4406
59	278	4363
60	280	4320
61	282	4277
62	285	4242
63	287	4203
64	289	4166
65	292	4132
66	294	4096
67	296	4062
68	298	4030
69	300	3998
70	303	3967
71	305	3940
72	307	3908
73	310	3879
74	312	3850
75	314	3824
76	316	3799
77	319	3771
78	321	3747
79	323	3722
80	325	3696
81	327	3669
82	329	3642
83	331	3617
84	333	3592
85	335	3567
86	337	3546
87	340	3524
88	342	3504
89	344	3481
90	346	3462
91	348	3443
92	351	3426
93	353	3408
94	355	3390
95	358	3373
96	360	3355
97	362	3339
98	365	3322
99	367	3306
100	369	3289
101	371	3273
102	373	3257
103	376	3241
104	378	3228
105	381	3213
106	383	3196
107	385	3181
108	387	3167
109	389	3153
110	392	3140
111	394	3127
112	396	3113
113	398	3099
114	401	3088
115	403	3074
116	405	3062
117	407	3048
118	409	3033
119	412	3021
120	414	3010
121	416	2998
122	418	2986
123	421	2975
124	423	2963
125	425	2951
126	427	2938
127	429	2927
128	432	2916
129	434	2906
130	436	2896
131	438	2885
132	440	2873
133	442	2862
134	445	2851
135	447	2840
136	449	2830
137	451	2823
138	454	2813
139	456	2803
140	458	2792
141	460	2782
142	462	2772
143	464	2762
144	467	2753
145	469	2744
146	471	2735
147	473	2726
148	475	2717
149	477	2708
150	480	2699
151	482	2691
152	484	2682
153	486	2674
154	488	2665
155	491	2657
156	493	2648
157	495	2640
158	497	2632
159	499	2624
160	502	2616
161	504	2608
162	506	2600
163	508	2592
164	510	2584
165	513	2577
166	515	2570
167	517	2563
168	519	2555
169	521	2547
170	524	2540
171	526	2532
172	528	2524
173	530	2516
174	532	2508
175	534	2500
176	536	2492
177	538	2485
178	540	2478
179	542	2472
180	544	2465
181	547	2459
182	549	2453
183	551	2447
184	554	2441
185	556	2435
186	558	2429
187	561	2423
188	563	2417
189	565	2410
190	567	2404
191	569	2398
192	572	2392
193	574	2386
194	576	2380
195	578	2374
196	581	2368
197	583	2362
198	585	2356
199	588	2354
200	590	2348
201	592	2342
202	595	2337
203	597	2331
204	600	2329
205	603	2324
206	605	2320
207	608	2317
208	610	2311
209	613	2308
210	615	2302
211	617	2297
212	620	2291
213	622	2286
214	624	2280
215	626	2274
216	628	2268
217	630	2262
218	633	2258
219	635	2253
220	637	2247
221	639	2242
222	642	2236
223	644	2231
224	646	2227
225	648	2222
226	650	2216
227	653	2212
228	655	2206
229	657	2201
230	660	2198
231	662	2193
232	664	2188
233	667	2185
234	669	2180
235	671	2175
236	674	2170
237	676	2165
238	678	2159
239	680	2154
240	682	2149
241	684	2144
242	687	2142
243	690	2138
244	692	2133
245	694	2129
246	696	2124
247	698	2119
248	701	2114
249	703	2110
250	706	2107
251	708	2102
252	710	2097
253	713	2094
254	715	2090
255	717	2085
256	720	2083
257	723	2079
258	725	2074
259	727	2070
260	729	2065
261	731	2060
262	734	2057
263	736	2052
264	738	2048
265	741	2045
266	743	2040
267	746	2037
268	748	2033
269	750	2029
270	753	2027
271	756	2023
272	758	2020
273	761	2016
274	763	2012
275	765	2007
276	767	2003
277	769	1999
278	773	1999
279	775	1995
280	779	1994
281	781	1990
282	784	1988
283	787	1985
284	789	1981
285	792	1978
286	795	1975
287	797	1972
288	800	1968
289	802	1964
290	807	1968
291	809	1963
292	812	1959
293	814	1956
294	817	1953
295	820	1950
296	822	1946
297	824	1942
298	827	1939
299	829	1936
300	832	1933
301	835	1930
302	837	1926
303	840	1923
304	842	1920
305	845	1917
306	847	1913
307	850	1910
308	852	1905
309	854	1902
310	857	1899
311	859	1896
312	862	1892
313	864	1888
314	867	1885
315	870	1883
316	872	1880
317	875	1876
318	877	1872
319	879	1869
320	882	1866
321	884	1863
322	887	1859
323	889	1856
324	892	1852
325	894	1849
326	896	1846
327	899	1842
328	902	1841
329	905	1837
330	907	1834
331	910	1830
332	912	1827
333	914	1823
334	917	1821
335	919	1817
336	923	1816
337	925	1813
338	927	1809
339	930	1806
340	932	1802
341	935	1799
342	937	1796
343	940	1792
344	942	1788
345	944	1785
346	947	1782
347	949	1779
348	952	1777
349	955	1775
350	959	1773
351	961	1770
352	964	1767
353	967	1764
354	969	1761
355	972	1758
356	974	1755
357	977	1753
358	980	1750
359	982	1747
360	985	1744
361	988	1741
362	990	1738
363	993	1736
364	996	1733
365	998	1730
366	1001	1727
367	1004	1724
368	1007	1722
369	1009	1719
370	1012	1716
371	1015	1713
372	1018	1711
373	1020	1708
374	1023	1706
375	1026	1704
376	1029	1701
377	1032	1698
378	1034	1695
379	1037	1693
380	1041	1691
381	1044	1689
382	1047	1687
383	1050	1685
384	1053	1682
385	1055	1679
386	1058	1676
387	1060	1673
388	1063	1669
389	1066	1667
390	1068	1664
391	1070	1661
392	1073	1658
393	1076	1655
394	1079	1653
395	1081	1650
396	1084	1647
397	1086	1644
398	1089	1641
399	1093	1639
400	1095	1636
401	1099	1635
402	1101	1632
403	1104	1629
404	1106	1626
405	1109	1623
406	1113	1622
407	1115	1618
408	1118	1615
409	1120	1612
410	1123	1609
411	1125	1606
412	1128	1603
413	1131	1601
414	1134	1598
415	1136	1595
416	1138	1592
417	1141	1589
418	1144	1587
419	1146	1583
420	1149	1580
421	1152	1577
422	1154	1574
423	1156	1571
424	1158	1568
425	1161	1564
426	1163	1561
427	1166	1558
428	1168	1555
429	1171	1552
430	1173	1549
431	1175	1545
432	1177	1542
433	1180	1539
434	1182	1535
435	1184	1532
436	1187	1529
437	1189	1526
438	1192	1523
439	1194	1520
440	1197	1517
441	1199	1514
442	1201	1511
443	1204	1508
444	1206	1504
445	1208	1501
446	1211	1498
447	1213	1495
448	1216	1492
449	1218	1489
450	1221	1486
451	1223	1483
452	1225	1479
453	1227	1476
454	1229	1472
455	1231	1469
456	1234	1466
457	1236	1463
458	1239	1460
459	1241	1457
460	1244	1454
461	1247	1452
462	1249	1449
463	1251	1446
464	1254	1442
465	1256	1439
466	1258	1436
467	1261	1433
468	1263	1430
469	1265	1427
470	1268	1424
471	1270	1421
472	1272	1418
473	1275	1415
474	1277	1412
475	1280	1409
476	1282	1406
477	1284	1402
478	1286	1399
479	1288	1395
480	1290	1392
481	1293	1389
482	1295	1386
483	1297	1383
484	1300	1380
485	1302	1377
486	1304	1374
487	1307	1371
488	1309	1368
489	1311	1365
490	1314	1362
491	1316	1359
492	1318	1356
493	1321	1353
494	1323	1350
495	1325	1347
496	1328	1344
497	1331	1341
498	1333	1338
499	1335	1335
500	1338	1332
501	1340	1330
502	1342	1326
503	1345	1323
504	1347	1320
505	1349	1317
506	1351	1314
507	1354	1311
508	1356	1308
509	1358	1305
510	1360	1302
511	1362	1299
512	1365	1296
513	1367	1292
514	1369	1289
515	1371	1286
516	1374	1283
517	1376	1280
518	1378	1277
519	1381	1274
520	1383	1271
521	1386	1269
522	1388	1266
523	1390	1263
524	1392	1260
525	1395	1257
526	1397	1254
527	1400	1251
528	1402	1248
529	1405	1245
530	1407	1243
531	1409	1239
532	1412	1237
533	1414	1234
534	1417	1231
535	1420	1229
536	1422	1226
537	1424	1223
538	1427	1220
539	1429	1217
540	1432	1215
541	1434	1212
542	1436	1209
543	1439	1206
544	1441	1203
545	1443	1200
546	1446	1197
547	1448	1194
548	1451	1192
549	1453	1189
550	1455	1186
551	1458	1183
552	1460	1180
553	1463	1177
554	1465	1174
555	1467	1172
556	1469	1169
557	1471	1165
558	1474	1163
559	1476	1160
560	1478	1157
561	1480	1154
562	1483	1151
563	1486	1148
564	1488	1145
565	1490	1143
566	1494	1141
567	1496	1138
568	1499	1135
569	1501	1132
570	1504	1130
571	1506	1127
572	1508	1124
573	1511	1121
574	1513	1118
575	1515	1115
576	1518	1112
577	1520	1110
578	1522	1107
579	1525	1104
580	1527	1101
581	1530	1098
582	1532	1096
583	1534	1093
584	1537	1090
585	1539	1087
586	1541	1084
587	1543	1081
588	1546	1079
589	1548	1076
590	1552	1074
591	1554	1071
592	1556	1068
593	1559	1065
594	1561	1063
595	1564	1060
596	1566	1057
597	1568	1054
598	1570	1051
599	1573	1049
600	1576	1046
601	1578	1043
602	1580	1040
603	1582	1037
604	1585	1034
605	1587	1032
606	1589	1029
607	1592	1026
608	1594	1023
609	1597	1021
610	1599	1018
611	1602	1015
612	1604	1012
613	1606	1010
614	1609	1007
615	1611	1004
616	1613	1001
617	1616	999
618	1618	996
619	1621	993
620	1623	990
621	1625	988
622	1628	985
623	1630	982
624	1632	979
625	1635	977
626	1637	974
627	1640	971
628	1642	968
629	1644	966
630	1647	963
631	1649	960
632	1651	957
633	1654	955
634	1656	952
635	1659	949
636	1661	946
637	1663	943
638	1665	941
639	1668	938
640	1670	935
641	1673	933
642	1675	930
643	1677	927
644	1680	924
645	1683	922
646	1685	919
647	1688	917
648	1690	914
649	1692	911
650	1695	908
651	1697	905
652	1699	903
653	1702	900
654	1704	897
655	1707	895
656	1709	892
657	1712	890
658	1715	887
659	1717	884
660	1719	881
661	1721	879
662	1723	876
663	1726	873
664	1728	870
665	1731	868
666	1733	865
667	1735	862
668	1738	859
669	1740	857
670	1742	854
671	1744	851
672	1747	848
673	1749	846
674	1751	843
675	1754	840
676	1756	837
677	1758	835
678	1760	832
679	1763	829
680	1766	827
681	1768	824
682	1771	822
683	1774	819
684	1777	817
685	1780	814
686	1783	812
687	1785	809
688	1789	807
689	1792	805
690	1795	802
691	1798	800
692	1800	797
693	1803	795
694	1805	792
695	1807	789
696	1810	786
697	1812	784
698	1814	781
699	1817	778
700	1819	775
701	1821	773
702	1823	770
703	1826	767
704	1829	765
705	1831	762
706	1833	759
707	1835	757
708	1837	754
709	1839	751
710	1842	748
711	1844	746
712	1847	743
713	1849	740
714	1851	738
715	1853	735
716	1855	732
717	1858	729
718	1860	727
719	1862	724
720	1864	721
721	1866	718
722	1869	716
723	1871	713
724	1873	710
725	1875	707
726	1877	705
727	1879	702
728	1881	699
729	1883	696
730	1885	693
731	1887	691
732	1890	688
733	1892	685
734	1894	683
735	1896	680
736	1899	677
737	1901	675
738	1903	672
739	1905	669
740	1907	666
741	1910	664
742	1912	661
743	1914	658
744	1916	655
745	1918	653
746	1920	650
747	1923	647
748	1925	645
749	1927	642
750	1929	639
751	1931	637
752	1933	634
753	1936	631
754	1938	629
755	1940	626
756	1942	623
757	1944	620
758	1946	618
759	1949	615
760	1951	612
761	1953	610
762	1955	607
763	1957	604
764	1960	602
765	1962	599
766	1964	596
767	1966	594
768	1968	591
769	1970	588
770	1972	586
771	1975	583
772	1977	580
773	1979	577
774	1981	575
775	1983	572
776	1985	569
777	1987	567
778	1990	564
779	1992	561
780	1994	559
781	1996	556
782	1998	553
783	2000	551
784	2003	548
785	2005	545
786	2007	543
787	2009	540
788	2011	538
789	2013	535
790	2016	532
791	2018	530
792	2020	527
793	2022	524
794	2024	522
795	2027	519
796	2029	516
797	2031	514
798	2033	511
799	2036	509
800	2038	506
801	2040	503
802	2042	501
803	2044	498
804	2047	495
805	2049	493
806	2051	490
807	2053	487
808	2055	485
809	2058	482
810	2060	480
811	2062	477
812	2064	474
813	2066	472
814	2068	469
815	2071	467
816	2073	464
817	2075	461
818	2077	459
819	2080	456
820	2083	454
821	2085	451
822	2087	449
823	2090	446
824	2092	443
825	2094	441
826	2096	438
827	2099	436
828	2101	433
829	2103	430
830	2105	428
831	2108	425
832	2110	423
833	2112	420
834	2114	417
835	2117	415
836	2119	412
837	2121	410
838	2123	407
839	2125	404
840	2128	402
841	2130	399
842	2132	397
843	2134	394
844	2137	392
845	2139	389
846	2141	386
847	2143	384
848	2146	381
849	2148	379
850	2150	376
851	2152	373
852	2154	371
853	2157	368
854	2159	366
855	2161	363
856	2163	360
857	2165	358
858	2167	355
859	2169	353
860	2171	350
861	2174	348
862	2176	345
863	2178	342
864	2180	340
865	2182	337
866	2184	335
867	2186	332
868	2188	329
869	2191	327
870	2193	324
871	2195	322
872	2197	319
873	2199	317
874	2202	314
875	2204	312
876	2206	309
877	2208	306
878	2210	304
879	2212	301
880	2214	299
881	2216	296
882	2218	294
883	2220	291
884	2223	288
885	2225	286
886	2227	283
887	2229	281
888	2231	278
889	2233	276
890	2236	273
891	2238	271
892	2240	268
893	2242	265
894	2244	263
895	2246	260
896	2249	258
897	2251	255
898	2253	253
899	2255	250
900	2257	248
901	2259	245
902	2261	242
903	2264	240
904	2266	237
905	2268	235
906	2270	232
907	2272	230
908	2274	227
909	2277	225
910	2279	222
911	2281	220
912	2283	217
913	2285	215
914	2288	212
915	2290	210
916	2292	207
917	2294	204
918	2297	202
919	2299	199
920	2301	197
921	2303	194
922	2305	192
923	2307	189
924	2309	187
925	2311	184
926	2313	182
927	2315	179
928	2317	177
929	2320	174
930	2322	172
931	2324	169
932	2326	167
933	2328	164
934	2331	162
935	2333	159
936	2335	157
937	2338	154
938	2340	152
939	2342	149
940	2344	147
941	2346	144
942	2349	141
943	2351	139
944	2353	136
945	2355	134
946	2358	131
947	2360	129
948	2362	126
949	2364	124
950	2366	121
951	2369	119
952	2371	116
953	2373	114
954	2376	111
955	2378	109
956	2381	106
957	2384	104
958	2386	102
959	2388	99
960	2390	97
961	2392	94
962	2394	92
963	2397	89
964	2399	87
965	2401	84
966	2403	82
967	2406	79
968	2409	77
969	2411	74
970	2413	72
971	2416	69
972	2418	67
973	2421	64
974	2424	62
975	2426	59
976	2429	57
977	2431	54
978	2434	52
979	2437	49
980	2440	47
981	2444	44
982	2448	42
983	2451	39
984	2453	37
985	2456	34
986	2459	32
987	2462	29
988	2465	27
989	2468	24
990	2472	22
991	2474	19
992	2478	17
993	2480	14
994	2483	12
995	2486	9
996	2488	7
997	2491	4
998	2494	2
999	2496	0
