Tenure Months,Monthly Charges,Total Charges,Churn Value,Gender_Male,Senior Citizen_Yes,Partner_Yes,Dependents_Yes,Phone Service_Yes,Multiple Lines_No phone service,Multiple Lines_Yes,Internet Service_Fiber optic,Internet Service_No,Online Security_No internet service,Online Security_Yes,Online Backup_No internet service,Online Backup_Yes,Device Protection_No internet service,Device Protection_Yes,Tech Support_No internet service,Tech Support_Yes,Streaming TV_No internet service,Streaming TV_Yes,Streaming Movies_No internet service,Streaming Movies_Yes,Contract_One year,Contract_Two year,Paperless Billing_Yes,Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check,Avg Monthly Charge,Is New Customer,High Monthly Charge
-1.2395040756535771,-0.3639232943754246,-0.9596491092068434,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-0.3553046138958821,1,0
-1.2395040756535771,0.19617817640187488,-0.94045745447498,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.36528193507154594,1,1
-0.9950403079957154,1.1584890119510036,-0.645369218442638,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1.2511064340608151,1,1
-0.18016108246950976,1.3296772953043026,0.336515544511356,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1.4573432739377,0,1
0.6754621043330061,1.2931128075977727,1.214588896927247,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1.2583663900256639,0,1
-0.9135523854430948,-0.3190486958265014,-0.7742621363716934,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,-0.39638632979103666,1,0
-1.2802480369298874,-0.8359375902233565,-0.9898704505662146,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,-0.8332108653374982,1,0
-1.2802480369298874,-1.4841262359300234,-0.9984736061356706,1,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,-1.4792539782048475,1,0
0.5939741817803856,1.1485168789401314,1.087901916323693,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1.2008556992997335,0,1
-1.2802480369298874,-1.150059780065818,-0.9940396721114126,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.146293296957829,1,0
-0.6283446565089229,-0.0032644838155611237,-0.5251015154562936,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,-0.016546109841079914,0,0
-1.1172721918246462,0.1629377330323022,-0.8675512258671538,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-0.04702609260200106,1,1
